_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
438140,4155182,2017.0,2021,1970.0,PRIVATE,5,York South-Weston,797 JANE ST,12,93,2021-10-21,88,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,3.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,,W0539,43.6740732037,-79.4944079231,305235.286,4836902.29
438141,4154243,2017.0,2021,2008.0,TCHC,7,Humber River-Black Creek,1900 SHEPPARD AVE W,4,27,2021-10-21,74,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,,3.0,4.0,5.0,4.0,3.0,4.0,,4.0,4.0,4.0,W0732,43.740025128,-79.509714967,304001.81,4844230.158
438142,4152900,2017.0,2021,1955.0,PRIVATE,4,Parkdale-High Park,101 COE HILL DR,3,47,2021-10-21,73,Evaluation needs to be conducted in 2 years,15,4.0,4.0,3.0,3.0,2.0,3.0,,4.0,,,3.0,3.0,5.0,5.0,4.0,4.0,,4.0,4.0,,S0430,43.6418182703,-79.4734954381,306922.776,4833319.267
438143,4154446,2017.0,2021,1959.0,PRIVATE,6,York Centre,27 SEELEY DR,5,71,2021-10-21,89,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,N0627,43.7411213027,-79.4918224235,305443.231,4844350.972
438144,4154447,2017.0,2021,1959.0,PRIVATE,6,York Centre,25 SEELEY DR,4,71,2021-10-21,87,Evaluation needs to be conducted in 3 years,18,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,,N0627,43.7415574676,-79.4934448562,305312.55100000004,4844399.414
438145,4153402,2017.0,2021,1991.0,TCHC,10,Spadina-Fort York,22 MC CAUL ST,11,139,2021-10-21,77,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,,S1024,43.651220216400006,-79.3904825858,313618.859,4834369.14
438146,4154449,2017.0,2021,1959.0,PRIVATE,6,York Centre,24 SEELEY DR,4,100,2021-10-21,88,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,4.0,,N0627,43.7406632771,-79.4927548873,305368.127,4844300.0819999995
438147,4154448,2017.0,2021,1959.0,PRIVATE,6,York Centre,18 SEELEY DR,5,99,2021-10-21,88,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,5.0,,5.0,3.0,,N0627,43.74138175,-79.49430188310001,305243.523,4844379.888
438148,4154042,2017.0,2021,1959.0,PRIVATE,19,Beaches-East York,508 DAWES RD,4,66,2021-10-21,66,Evaluation needs to be conducted in 2 years,17,4.0,3.0,4.0,3.0,2.0,3.0,,3.0,3.0,,3.0,3.0,5.0,4.0,2.0,3.0,4.0,4.0,3.0,,S1927,43.704145763,-79.298173276,321151.291,4840256.044
438149,4156020,2017.0,2021,1960.0,PRIVATE,16,Don Valley East,11 ROCHEFORT DR,3,64,2021-10-21,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,,4.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,2.0,,N1630,43.718077388000005,-79.335977623,317970.536,4841814.969
438150,4153734,2017.0,2021,1969.0,PRIVATE,11,University-Rosedale,10 LAMPORT AVE,4,36,2021-10-21,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,,S1131,43.6788601061,-79.3775615187,314656.669,4837441.278
438151,4154712,,2021,,PRIVATE,18,Willowdale,300 FINCH AVE W,4,30,2021-10-21,84,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,,N1822,43.7744429688,-79.4417362415,309474.924,4848054.466
438152,4154711,2020.0,2021,1962.0,PRIVATE,18,Willowdale,296 FINCH AVE W,4,30,2021-10-21,81,Evaluation needs to be conducted in 2 years,18,5.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,N1822,43.7745588068,-79.4412316023,309515.538,4848067.363
438153,4154465,2017.0,2021,1970.0,TCHC,7,Humber River-Black Creek,3680 KEELE ST,3,238,2021-10-21,76,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,,4.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,W0731,43.753748768,-79.48953565,305627.036,4845754.8
438154,4155478,2017.0,2021,1967.0,PRIVATE,3,Etobicoke-Lakeshore,2335 LAKE SHORE BLVD W,8,132,2021-10-21,79,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,,W0336,43.616601956400004,-79.4868558725,305845.225,4830517.654
438155,4153922,2018.0,2021,1929.0,PRIVATE,12,Toronto-St. Paul's,57 LAWTON BLVD,4,12,2021-10-21,66,Evaluation needs to be conducted in 2 years,14,3.0,2.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,5.0,4.0,3.0,4.0,,4.0,,,S1232,43.691956596000004,-79.39570523,313191.661,4838895.195
438156,4154710,2017.0,2021,1959.0,PRIVATE,18,Willowdale,292 FINCH AVE W,4,39,2021-10-21,86,Evaluation needs to be conducted in 3 years,17,4.0,4.0,5.0,4.0,5.0,4.0,,4.0,5.0,,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,N1822,43.7746707581,-79.44071358560001,309557.229,4848079.829
438157,4156613,2017.0,2021,1965.0,PRIVATE,16,Don Valley East,8 WINGREEN CRT,3,11,2021-10-21,71,Evaluation needs to be conducted in 2 years,16,4.0,4.0,3.0,4.0,,4.0,,4.0,4.0,,4.0,3.0,5.0,4.0,3.0,2.0,3.0,3.0,3.0,,N1624,43.739178679,-79.3433554999,,
438158,4285160,2018.0,2021,1950.0,PRIVATE,16,Don Valley East,3 WINGREEN CRT,3,11,2021-10-21,69,Evaluation needs to be conducted in 2 years,17,3.0,4.0,3.0,3.0,3.0,4.0,,4.0,,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,,N1624,43.7389485514,-79.3418652477,,
438159,4156619,2017.0,2021,1965.0,PRIVATE,16,Don Valley East,2 WINGREEN CRT,3,11,2021-10-21,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,3.0,4.0,4.0,4.0,,4.0,,3.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,,N1624,43.73952173520001,-79.342024827,,
438160,4156620,2017.0,2021,1950.0,PRIVATE,16,Don Valley East,1 WINGREEN CRT,3,11,2021-10-21,67,Evaluation needs to be conducted in 2 years,17,3.0,4.0,3.0,4.0,3.0,4.0,,4.0,,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,,N1624,43.7388622795,-79.3416192822,,
438161,4155199,2017.0,2021,1968.0,PRIVATE,5,York South-Weston,900 JANE ST,5,40,2021-10-21,88,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,,W0534,43.6782330421,-79.4969313119,305031.787,4837364.433
438162,4152877,2017.0,2021,1970.0,PRIVATE,22,Scarborough-Agincourt,20 CARABOB CRT,15,195,2021-10-20,73,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,E2229,43.782204738599994,-79.2977983352,321060.001,4848934.904
438163,4155584,2017.0,2021,1970.0,TCHC,22,Scarborough-Agincourt,365 BAY MILLS BLVD,13,186,2021-10-20,82,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2226,43.7812403712,-79.3008424612,320815.234,4848827.17
438164,4152904,2017.0,2021,1920.0,PRIVATE,4,Parkdale-High Park,2407 BLOOR ST W,3,12,2021-10-20,80,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,3.0,,S0430,43.64933320229999,-79.4831934689,306140.164,4834153.961
438165,4154947,2017.0,2021,1926.0,PRIVATE,12,Toronto-St. Paul's,1570 BATHURST ST,4,36,2021-10-20,69,Evaluation needs to be conducted in 2 years,14,3.0,3.0,5.0,3.0,4.0,3.0,,3.0,,,3.0,4.0,4.0,3.0,3.0,3.0,,4.0,,,S1229,43.6859949954,-79.4198611438,311245.255,4838229.772
438166,4154948,2017.0,2021,1926.0,PRIVATE,12,Toronto-St. Paul's,1560 BATHURST ST,4,36,2021-10-20,69,Evaluation needs to be conducted in 2 years,16,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,,3.0,3.0,4.0,5.0,3.0,4.0,3.0,,3.0,3.0,,S1229,43.6857351417,-79.419761989,311253.276,4838200.909
438167,4154949,2017.0,2021,1926.0,PRIVATE,12,Toronto-St. Paul's,1554 BATHURST ST,4,36,2021-10-20,66,Evaluation needs to be conducted in 2 years,16,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,,3.0,3.0,4.0,5.0,3.0,3.0,4.0,,3.0,3.0,,S1229,43.6855675188,-79.4196915676,311258.971,4838182.291
438168,4156043,2017.0,2021,1965.0,PRIVATE,16,Don Valley East,275 CASSANDRA BLVD,12,164,2021-10-20,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,,N1625,43.753301871000005,-79.31465951199999,319753.276,4845811.004
438169,4154905,2017.0,2021,1969.0,PRIVATE,16,Don Valley East,270 CASSANDRA BLVD,4,83,2021-10-20,74,Evaluation needs to be conducted in 2 years,18,3.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,4.0,,4.0,2.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,,N1625,43.75472795979999,-79.3146445734,319710.799,4845879.156
438170,4156461,2017.0,2021,1965.0,PRIVATE,16,Don Valley East,265 CASSANDRA BLVD,12,164,2021-10-20,80,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,3.0,,N1625,43.753625037,-79.3156353,319617.966,4845769.7069999995
438171,4155132,2017.0,2021,1971.0,PRIVATE,5,York South-Weston,65 EMMETT AVE,24,419,2021-10-20,79,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,,W0531,43.6880415754,-79.5040797855,304455.515,4838454.156
438172,4155131,2017.0,2021,1968.0,PRIVATE,5,York South-Weston,55 EMMETT AVE,23,267,2021-10-20,81,Evaluation needs to be conducted in 2 years,19,3.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,4.0,,W0531,43.688645209300006,-79.5034322952,304507.717,4838521.209
438173,4156086,2017.0,2021,1965.0,PRIVATE,4,Parkdale-High Park,55 OAKMOUNT RD,16,221,2021-10-20,68,Evaluation needs to be conducted in 2 years,20,4.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,S0428,43.656763132100004,-79.4631452755,307757.11100000003,4834979.8610000005
438174,4156354,2017.0,2021,1965.0,PRIVATE,4,Parkdale-High Park,45 OAKMOUNT RD,15,221,2021-10-20,72,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,,S0428,43.6564105538,-79.4629896425,307769.685,4834940.698
438175,4155582,2017.0,2021,1972.0,TCHC,25,Scarborough-Rouge Park,225 MORNINGSIDE AVE,10,99,2021-10-20,82,Evaluation needs to be conducted in 2 years,19,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,,4.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,E2537,43.7671070711,-79.1850076952,330144.859,4847285.775
438176,4156252,2017.0,2021,1961.0,PRIVATE,25,Scarborough-Rouge Park,205 MORNINGSIDE AVE,5,107,2021-10-20,81,Evaluation needs to be conducted in 2 years,19,3.0,4.0,4.0,3.0,5.0,4.0,,4.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,E2537,43.765315672,-79.184493788,330160.238,4847096.726
438177,4153897,2017.0,2021,1960.0,PRIVATE,12,Toronto-St. Paul's,55 MONTCLAIR AVE,6,54,2021-10-20,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,,S1230,43.687390791800006,-79.4132285556,311779.843,4838385.392
438178,4153722,2017.0,2021,1962.0,TCHC,19,Beaches-East York,828 KINGSTON RD,7,147,2021-10-20,87,Evaluation needs to be conducted in 3 years,19,3.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,S1936,43.6805240722,-79.2921137026,321545.77,4837639.768
438179,4154929,2017.0,2021,1960.0,PRIVATE,12,Toronto-St. Paul's,450 WALMER RD,15,171,2021-10-20,74,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1230,43.686218485,-79.413643322,311746.53,4838255.1110000005
438180,4153749,2017.0,2021,1934.0,PRIVATE,12,Toronto-St. Paul's,2 GLEN ELM AVE,6,49,2021-10-20,76,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,,3.0,4.0,5.0,5.0,,4.0,2.0,5.0,3.0,4.0,4.0,,3.0,3.0,,S1233,43.69150698520001,-79.3947793757,313266.618,4838844.38
438181,4155179,2017.0,2021,1960.0,PRIVATE,5,York South-Weston,230 WOOLNER AVE,9,130,2021-10-20,82,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,4.0,4.0,,3.0,5.0,,4.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,3.0,,W0539,43.672250689799995,-79.4935197463,305306.919,4836699.823
438182,4155178,2017.0,2021,1960.0,PRIVATE,5,York South-Weston,220 WOOLNER AVE,9,130,2021-10-20,81,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,3.0,3.0,4.0,,3.0,5.0,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0539,43.6723782892,-79.4929488594,305352.953,4836714.002
438183,4153724,2017.0,2021,1991.0,TCHC,19,Beaches-East York,2390 GERRARD ST E,4,16,2021-10-20,73,Evaluation needs to be conducted in 2 years,14,3.0,3.0,3.0,5.0,,5.0,,3.0,,,4.0,3.0,5.0,4.0,3.0,3.0,,4.0,3.0,,S1933,43.686322989,-79.29028370399999,321691.453,4838285.303
438184,4153407,2017.0,2021,1993.0,TCHC,10,Spadina-Fort York,76 GRANGE AVE,3,11,2021-10-20,76,Evaluation needs to be conducted in 2 years,14,4.0,3.0,3.0,4.0,,4.0,,4.0,,,4.0,5.0,4.0,3.0,4.0,3.0,,4.0,4.0,,S1024,43.652192629,-79.39678805300001,313100.214,4834501.899
438185,4155950,2018.0,2021,1953.0,PRIVATE,19,Beaches-East York,5 STAG HILL DR,4,15,2021-10-20,85,Evaluation needs to be conducted in 2 years,15,4.0,3.0,5.0,5.0,5.0,5.0,,4.0,,,4.0,3.0,5.0,3.0,5.0,5.0,,3.0,5.0,,S1927,43.703301636999996,-79.310988273,319989.443,4840181.688999999
438186,4153748,2017.0,2021,1960.0,PRIVATE,12,Toronto-St. Paul's,42 GLEN ELM AVE,3,39,2021-10-20,72,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,,2.0,3.0,4.0,5.0,,4.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,,S1233,43.691967364300005,-79.3928327445,313423.481,4838895.74
438187,4154238,2017.0,2021,1968.0,PRIVATE,7,Humber River-Black Creek,2755 JANE ST,12,118,2021-10-20,77,Evaluation needs to be conducted in 2 years,19,4.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,,W0730,43.7476852259,-79.51463245640001,303606.137,4845080.285
438188,4154228,2017.0,2021,1972.0,PRIVATE,7,Humber River-Black Creek,2740 JANE ST,5,52,2021-10-20,87,Evaluation needs to be conducted in 3 years,18,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,,W0729,43.744497339700004,-79.51525333939999,303556.067,4844726.13
438189,4154435,2017.0,2021,1968.0,PRIVATE,6,York Centre,2415 JANE ST,20,158,2021-10-20,76,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,,N0627,43.730739234,-79.5101143614,303969.752,4843197.602
438190,4154434,2017.0,2021,1968.0,PRIVATE,6,York Centre,195 EXBURY RD,20,159,2021-10-20,75,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,,N0627,43.7301341998,-79.5097819917,303996.516,4843130.381
438191,4154906,2017.0,2021,1966.0,PRIVATE,16,Don Valley East,250 CASSANDRA BLVD,4,234,2021-10-20,71,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,,4.0,2.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,,N1625,43.7543911907,-79.3162260546,319583.529,4845841.461
438192,4154433,2017.0,2021,1965.0,PRIVATE,6,York Centre,28 HEATHROW DR,3,11,2021-10-20,98,Evaluation needs to be conducted in 3 years,16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,5.0,5.0,5.0,4.0,5.0,5.0,,5.0,5.0,,N0627,43.7252112669,-79.509276294,304037.158,4842583.484
438193,4154432,2017.0,2021,1965.0,PRIVATE,6,York Centre,32 HEATHROW DR,3,11,2021-10-20,95,Evaluation needs to be conducted in 3 years,16,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,,5.0,4.0,5.0,5.0,4.0,5.0,5.0,,4.0,5.0,,N0627,43.7253655366,-79.5088869667,304068.528,4842600.618
438194,4154008,2017.0,2021,1968.0,PRIVATE,8,Eglinton-Lawrence,30 EDITH DR,13,172,2021-10-19,81,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,,N0833,43.7065465762,-79.4033898366,312570.56899999996,4840514.447
438195,4155565,2017.0,2021,1968.0,TCHC,20,Scarborough Southwest,3485 ST CLAIR AVE E,9,97,2021-10-19,74,Evaluation needs to be conducted in 2 years,19,3.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,,3.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,E2030,43.7145219871,-79.26814890060001,323467.401,4841421.877
438196,4152718,2017.0,2021,1967.0,PRIVATE,21,Scarborough Centre,1475 BIRCHMOUNT RD,5,28,2021-10-19,89,Evaluation needs to be conducted in 3 years,18,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,,E2128,43.756711080100004,-79.2880430634,321852.38800000004,4846104.6110000005
438197,4153893,2017.0,2021,1954.0,PRIVATE,12,Toronto-St. Paul's,1603 BATHURST ST,6,73,2021-10-19,77,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,,S1230,43.689065755,-79.419580207,311267.32899999997,4838571.916999999
438198,4154955,2017.0,2021,1965.0,PRIVATE,12,Toronto-St. Paul's,1500 BATHURST ST,14,119,2021-10-19,76,Evaluation needs to be conducted in 2 years,20,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,S1229,43.684088394899995,-79.4190637545,311309.74100000004,4838018.005
438199,4153892,2017.0,2021,1965.0,PRIVATE,12,Toronto-St. Paul's,1545 BATHURST ST,6,56,2021-10-19,96,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,5.0,5.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,S1230,43.6861472911,-79.4191187193,311305.095,4838246.749
